!PROJECT: GP2018
!LOCATION: Blaue Kuppe, Eschwege
!OPERATOR: GP2018 participants
!DATA: Bouguer gravity data from table: GRAV_BK12
!DATE:
!NOTES:
!VALUE:     datetime    easting    northing    elev    depth          boug         tboug
!UNIT:                      [m]         [m]     [m]      [m]        [mGal]        [mGal]
!COORDINATES: UTM 32U
2018-09-19-09:17:00   572522.63  5667699.79  296.92     0.40         -0.84          0.00
2018-09-19-09:47:00   572547.10  5667734.95  292.74     0.40         -0.91          0.00
2018-09-19-10:00:00   572554.23  5667770.53  288.90     0.40         -0.53          0.00
2018-09-19-10:11:00   572546.82  5667795.01  285.48     0.40         -0.57          0.00
2018-09-19-10:17:00   572537.51  5667820.46  282.03     0.40         -0.48          0.00
2018-09-19-10:23:00   572527.04  5667843.33  278.54     0.40         -0.47          0.00
2018-09-19-10:37:00   572515.01  5667868.19  274.74     0.40         -0.49          0.00
2018-09-19-10:44:00   572500.08  5667900.13  271.24     0.40         -0.38          0.00
2018-09-19-10:57:00   572483.87  5667938.49  268.28     0.40         -0.35          0.00
2018-09-19-11:11:00   572455.74  5667984.47  265.16     0.40         -0.27          0.00
2018-09-19-11:22:00   572419.33  5668021.89  261.43     0.40         -0.16          0.00
2018-09-19-11:29:00   572390.20  5668054.40  259.05     0.40         -0.18          0.00
2018-09-19-11:36:00   572311.20  5667987.01  259.83     0.40         -0.09          0.00
2018-09-19-11:45:00   572247.02  5667920.70  261.43     0.40         -0.15          0.00
2018-09-19-11:55:00   572169.56  5667858.22  262.96     0.40         -0.11          0.00
2018-09-19-12:04:00   572107.92  5667794.73  260.43     0.40          0.00          0.00
2018-09-19-12:16:00   572066.87  5667749.89  257.22     0.40          0.01          0.00
2018-09-19-12:39:00   572009.72  5667690.25  256.62     0.40          0.07          0.00
2018-09-19-13:10:00   571914.36  5667586.70  260.53     0.40         -0.14          0.00
2018-09-19-13:21:00   571949.65  5667479.09  262.89     0.40         -0.27          0.00
2018-09-19-13:29:00   571958.23  5667460.74  263.73     0.40         -0.31          0.00
2018-09-19-13:34:00   571949.80  5667393.00  264.73     0.40         -0.34          0.00
2018-09-19-13:46:00   571941.44  5667310.57  263.36     0.40         -0.21          0.00
2018-09-19-13:55:00   571990.42  5667309.93  263.92     0.40         -0.42          0.00
2018-09-19-14:10:00   572038.29  5667308.26  264.61     0.40         -0.48          0.00
2018-09-19-14:16:00   572114.97  5667307.11  266.00     0.40         -0.31          0.00
2018-09-19-14:23:00   572202.04  5667303.21  269.00     0.40         -0.49          0.00
2018-09-19-14:31:00   572256.84  5667300.98  271.03     0.40         -0.62          0.00
2018-09-19-14:37:00   572362.22  5667308.91  274.43     0.40         -0.92          0.00
2018-09-19-14:42:00   572397.94  5667345.45  276.06     0.40         -0.68          0.00
2018-09-20-10:30:00   572409.07  5667369.85  279.29     0.40         -0.71          0.00
2018-09-20-10:35:00   572432.92  5667394.89  283.06     0.40         -0.83          0.00
2018-09-20-10:38:00   572443.78  5667413.16  286.90     0.40         -0.73          0.00
2018-09-20-10:41:00   572458.43  5667441.18  290.75     0.40         -0.83          0.00
2018-09-20-10:46:00   572471.06  5667468.16  294.36     0.40         -0.91          0.00
2018-09-20-10:52:00   572490.78  5667493.58  297.69     0.40         -1.02          0.00
2018-09-20-10:56:00   572500.54  5667525.53  300.71     0.40         -1.02          0.00
2018-09-20-10:59:00   572511.72  5667555.49  302.59     0.40         -0.97          0.00
2018-09-20-10:59:00   572511.72  5667555.49  302.59     0.40         -0.97          0.00
