!PROJECT: GP 2022
!LOCATION: Eschwege - Blaue Kuppe
!OPERATOR: Annika Mattil, Ibrahima Diop, Luise Sontag, Philipp Kraml, Valentin Lobsien
!DATA: Total-field magnetic data from table: MAG_M02
!DATE:
!NOTES:
!VALUE:     datetime    easting    northing    elev    depth       sensor1       sensor2
!UNIT:                      [m]         [m]     [m]      [m]          [nT]          [nT]
!COORDINATES: UTM 32U
2022-8-24-13:31:22   572510.65  5667548.67  306.00     1.50       -308.68       -297.38
2022-8-24-13:32:26   572507.80  5667530.54  300.00     1.50       -242.11       -234.65
2022-8-24-13:32:58   572499.92  5667513.01  301.00     1.50       -185.92       -178.69
2022-8-24-13:33:34   572493.47  5667492.48  298.00     1.50        -32.56        -31.00
2022-8-24-13:34:02   572480.48  5667474.82  295.00     1.50         23.90         32.49
2022-8-24-13:34:22   572470.89  5667461.28  295.00     1.50        137.58        129.74
2022-8-24-13:34:46   572461.57  5667445.23  296.00     1.50        137.04        134.98
2022-8-24-13:35:06   572453.76  5667432.63  291.00     1.50        149.88        147.74
2022-8-24-13:35:30   572443.30  5667416.26  288.00     1.50        136.43        139.96
2022-8-24-13:35:58   572433.22  5667397.28  285.00     1.50        135.82        137.49
2022-8-24-13:36:22   572418.45  5667375.41  295.00     1.50        131.06        133.13
2022-8-24-13:36:46   572415.44  5667366.16  285.00     1.50        122.23        123.77
2022-8-24-13:37:10   572404.20  5667353.74  280.00     1.50         88.15         93.30
2022-8-24-13:37:30   572392.75  5667339.02  279.00     1.50        223.27        195.61
2022-8-24-13:37:58   572377.56  5667322.46  275.00     1.50        195.74        173.73
2022-8-24-13:38:30   572357.50  5667308.45  272.00     1.50        158.59        147.33
2022-8-24-13:38:54   572345.14  5667303.91  272.00     1.50        176.95        156.52
2022-8-24-13:39:06   572339.17  5667302.30  272.00     1.50        168.05        152.42
2022-8-24-13:39:22   572331.69  5667300.12  272.00     1.50        156.79        144.53
2022-8-24-13:39:38   572323.98  5667298.49  271.00     1.50        197.84        176.43
2022-8-24-13:39:54   572316.07  5667297.40  271.00     1.50        220.69        198.74
2022-8-24-13:40:10   572307.73  5667296.01  271.00     1.50        223.09        198.95
2022-8-24-13:40:34   572299.09  5667296.19  271.00     1.50        146.57        130.67
2022-8-24-13:40:58   572285.52  5667296.62  270.00     1.50        128.12        109.70
2022-8-24-13:41:34   572273.72  5667297.56  270.00     1.50        122.68        106.11
2022-8-24-13:41:58   572260.25  5667299.13  269.00     1.50        113.95         96.52
2022-8-24-13:42:26   572244.97  5667301.54  269.00     1.50         87.31         77.45
2022-8-24-13:42:50   572230.97  5667303.62  268.00     1.50        125.23        105.27
2022-8-24-13:43:14   572216.04  5667303.95  267.00     1.50        126.64        102.77
2022-8-24-13:43:46   572197.82  5667303.73  266.00     1.50         84.50         72.05
2022-8-24-13:44:22   572176.52  5667304.87  266.00     1.50         88.91         73.01
2022-8-24-13:44:50   572157.95  5667306.16  265.00     1.50         93.53         74.68
2022-8-24-13:45:14   572139.37  5667307.29  264.00     1.50         66.71         57.17
2022-8-24-13:45:46   572115.79  5667307.76  264.00     1.50         75.94         63.55
2022-8-24-13:46:14   572100.86  5667308.29  263.00     1.50         63.97         54.06
2022-8-24-13:46:47   572085.31  5667308.33  263.00     1.50         74.54         61.28
